name,age,national id,sex,occupation,residence,town,nationality,disability status,"if disabled, specify",salary,number of kids
Lisa Adams,67,78567514,Female,Plumber,"708 Kaitlin Gardens Suite 104, Shortshire, MD 96330",Kigali,Kenyan,Yes,Visual Impairment,28168,1
Amanda Miller,76,54692919,Male,Mechanic,"10456 James Road, Martintown, NM 17311",Kampala,Tanzanian,No,,189674,4
Mark Carr,30,9578296,Male,Lawyer,"0648 Johnson Plain, New Williamside, AL 46665",Kampala,Ugandan,No,,294883,1
Glenn Kline,63,23600419,Female,Mechanic,"29069 Bryant Divide, West James, MT 85443",Mombasa,Sudanese,No,,233456,5
Kathleen Yang,40,1422687,Male,Software Developer,"877 Alvarado Extension Suite 719, Torresport, AR 22822",Juba,Sudanese,No,,298601,3
Robert Martin,20,25837377,Female,Chef,"PSC 5185, Box 5236, APO AA 39662",Nairobi,Sudanese,No,,91164,2
Ryan Taylor,85,37991886,Male,Electrician,"Unit 8232 Box 8221, DPO AP 98611",Kampala,Kenyan,Yes,Cognitive Disability,144284,0
Kevin Curry,90,66492360,Female,Plumber,"333 Lee Row Apt. 827, Alecshire, TX 98392",Kampala,Ugandan,No,,293571,1
Miguel Gillespie,75,4116072,Female,Driver,"921 Alvarado Meadows Suite 258, Campbellborough, VA 69262",Nairobi,Ugandan,Yes,Mobility Impairment,136540,5
Brandy Luna,79,15926238,Male,Plumber,"47989 Pamela Greens, Smithchester, WI 59002",Nairobi,Ugandan,No,,267942,5
Gregory King,78,17767516,Female,Teacher,"4889 Daniel Mews Apt. 302, New Karen, VT 44763",Kigali,Rwandan,Yes,Cognitive Disability,281061,3
Dr. Gary Elliott,82,42829203,Male,Accountant,"45245 Caldwell Green, Matthewport, NJ 89263",Mombasa,Kenyan,Yes,Cognitive Disability,232854,1
Anthony Washington,45,90791123,Female,Electrician,"984 Deanna Terrace, Stewartport, NJ 56045",Nairobi,Rwandan,Yes,Cognitive Disability,278118,0
Felicia Salazar,51,10748293,Female,Driver,"53602 Kelly Harbor Apt. 689, Cynthiachester, ID 34928",Nairobi,Tanzanian,Yes,Visual Impairment,91836,4
Rickey Yoder,24,71993592,Female,Teacher,"374 Madison Forks, Lake Catherine, RI 11059",Juba,Kenyan,Yes,Cognitive Disability,177529,5
Russell Tyler,68,43557176,Male,Software Developer,"701 Holly Shoals, South Sandra, OR 29750",Kampala,Rwandan,No,,95121,5
Charles Nichols,89,40252457,Female,Plumber,"3821 Richard Roads, Port Vanessamouth, FL 80201",Kampala,Ugandan,Yes,Mobility Impairment,130685,1
Glenn Cameron,66,6741441,Female,Software Developer,"3397 Murray Courts Suite 691, East Jillian, IN 29830",Juba,Sudanese,No,,295154,0
Robert Blackwell,63,92516216,Male,Chef,"311 Edwards Mill Suite 804, West Kirk, NE 63415",Dar es Salaam,Sudanese,No,,151168,3
David Delacruz,49,98661264,Female,Accountant,"PSC 9830, Box 9588, APO AE 39489",Kigali,Kenyan,Yes,Hearing Impairment,44536,5
Richard Schaefer,64,33560242,Female,Engineer,"2284 Mark Knolls Suite 219, Bowenbury, RI 41301",Kampala,Tanzanian,Yes,Hearing Impairment,107427,4
Keith Walker,74,25001355,Male,Engineer,"6055 Marissa Dale Apt. 560, Lucaschester, WV 61849",Mombasa,Ugandan,No,,286132,3
Morgan Brown,31,84630221,Male,Lawyer,"6138 Matthew Rapid, Lake Brian, ND 58143",Kigali,Tanzanian,No,,265761,6
Thomas Nguyen,60,55320398,Male,Chef,"339 Mary Ports Suite 747, Jenniferborough, WV 28141",Juba,Rwandan,Yes,Mobility Impairment,267481,6
Kimberly White,38,19761347,Female,Driver,"98248 Dale Road, Anthonyside, CT 69507",Mombasa,Tanzanian,Yes,Cognitive Disability,53226,2
Mrs. Diane Mitchell,39,4157793,Female,Nurse,"033 Washington Common, Zhangtown, CA 41043",Kigali,Sudanese,Yes,Cognitive Disability,112783,3
Krystal Pierce,22,38690027,Female,Driver,"PSC 0337, Box 7856, APO AE 47626",Mombasa,Kenyan,No,,86485,6
Alexander Bradford,25,20987375,Female,Teacher,"460 Woods Trail Suite 019, West Joshuahaven, KY 60659",Dar es Salaam,Sudanese,Yes,Hearing Impairment,231731,0
Mr. Dustin Chang,57,30026719,Female,Doctor,"6549 Emily Glens, Colemanchester, SD 26322",Nairobi,Tanzanian,No,,280243,4
Stephanie Salas,18,47292040,Male,Software Developer,"54754 Miller Ridge Apt. 313, Port Jesse, OH 01533",Kigali,Ugandan,Yes,Cognitive Disability,76764,0
Amanda Jensen,24,90529620,Female,Police Officer,"PSC 0876, Box 8100, APO AA 82381",Mombasa,Rwandan,Yes,Visual Impairment,246034,2
Diane Smith,90,6462766,Female,Police Officer,"528 Tracey Loaf, Gonzalezland, SD 06009",Mombasa,Ugandan,No,,194564,2
Michael Pearson,80,91056332,Female,Chef,"4380 Harrington Plain Apt. 747, Ramosport, NH 82967",Juba,Kenyan,Yes,Visual Impairment,27319,2
Timothy Lee,62,6126527,Female,Police Officer,"505 Lisa Road Apt. 358, West Drew, MI 54134",Kampala,Rwandan,No,,196322,2
Makayla Ball,65,31664856,Female,Chef,"581 Arthur Grove Apt. 502, Port Douglas, NC 46194",Juba,Sudanese,No,,266934,5
Jill Stanley,38,55411986,Male,Farmer,"466 Anna Mission Suite 132, Port Petermouth, UT 22581",Kampala,Kenyan,No,,93346,4
John Daniels,81,62048746,Male,Software Developer,"9554 Rachel Inlet, Port Geoffreyside, MD 67028",Juba,Rwandan,Yes,Hearing Impairment,155005,2
Paul Hendricks,60,39627068,Female,Driver,"31947 Andrew Summit, Michellechester, DE 24333",Dar es Salaam,Sudanese,Yes,Visual Impairment,276183,4
Jordan Jackson,18,94700225,Female,Accountant,"495 Jimenez Plain Apt. 277, Johnsonstad, VA 64329",Kampala,Tanzanian,Yes,Visual Impairment,163353,4
Jessica Gardner,31,10678664,Female,Chef,"Unit 0102 Box 9340, DPO AA 92724",Nairobi,Kenyan,No,,259607,2
Ernest Lindsey,71,16221930,Female,Plumber,"10593 James Cliffs, Michaelborough, MD 50047",Juba,Tanzanian,Yes,Hearing Impairment,98283,3
Bryan Hayes,77,54089804,Male,Teacher,"Unit 2823 Box 4573, DPO AE 09016",Mombasa,Ugandan,No,,163459,1
Christine Ross,75,99360918,Female,Lawyer,"712 Sims Unions Apt. 645, Martinezville, TN 43220",Dar es Salaam,Kenyan,No,,283985,3
Eric York,49,66936698,Male,Mechanic,"591 Pamela Squares, North Maryhaven, WI 39505",Mombasa,Tanzanian,No,,201799,5
